,0,1,2,3,4,5
0,-0.69069517,-1.2033718,-1.8106258,-1.8161631,-0.0937217,-0.23116344
1,-0.6882055,-1.2122059,-1.2695761,-2.1553016,-0.11282046,-0.25632602
2,1.4239615,1.4467312,-0.84224457,0.9863493,-1.394628,-2.0238252
3,1.1052849,1.2129462,1.0345666,0.8697186,-1.1688099,-1.8202062
4,0.400495,0.54846114,-1.6714315,0.43130425,-0.52178115,-1.3742752
5,0.089928046,0.43625528,0.46576008,0.408729,0.17134556,0.8467296
6,-0.1362788,0.21861398,1.016071,0.7398425,0.01252817,0.7130678
7,-0.3400067,-0.10837172,-0.4961909,0.46045062,-0.17285971,-0.84009737
8,-0.3439361,-0.03669409,-0.8599978,0.5403801,-0.034586858,0.52261204
9,4.8961287,3.2502906,0.18255526,1.2522074,-5.719608,-3.2209172
10,0.47225356,0.9180905,-0.9376578,0.8896241,0.42100027,1.1251554
11,-0.6741637,-0.9915107,0.93831915,-0.9306199,-0.16687833,-0.27224007
12,-0.036282584,0.17652805,1.4940851,0.5042178,-0.34685582,-1.1241074
13,-0.68339145,-1.2273647,-1.5314425,-2.2557182,-0.09199633,-0.24601203
14,-0.60186404,-0.6723705,1.2468475,-0.2647443,-0.13133149,0.1194698
15,-0.3049,-0.117422536,-0.6888209,0.23037419,-0.22065465,-0.9569631
16,1.0866311,1.0978849,-0.066839986,0.5838128,-1.1728323,-1.9125012
17,-0.60264516,-0.71836704,0.96628886,-0.47174305,-0.14734517,0.07786475
18,2.95517,2.5688326,1.3935729,1.502574,3.0560052,2.2233758
19,3.949287,2.739607,-0.32077944,1.0911986,-4.3861914,-2.920621
